NODE_73_length_1838_cov_149.319686_2	CYP4V7	37.8	505	272	6	11	510	43	510	2.7e-102	368.6
NODE_73_length_1838_cov_149.319686_2	CYP4V7	37.8	505	272	6	11	510	43	510	2.7e-102	368.6
NODE_73_length_1838_cov_149.319686_2	CYP4V5	38.9	496	263	7	18	509	51	510	5.1e-101	364.4
NODE_73_length_1838_cov_149.319686_2	CYP4V5	38.9	496	263	7	18	509	51	510	5.1e-101	364.4
NODE_73_length_1838_cov_149.319686_2	CYP4V6	36.8	508	280	8	11	513	43	514	7.4e-100	360.5
NODE_73_length_1838_cov_149.319686_2	Cyp4v3	37.8	516	281	8	3	510	39	522	7.4e-100	360.5
NODE_73_length_1838_cov_149.319686_2	CYP4V6	36.8	508	280	8	11	513	43	514	7.4e-100	360.5
NODE_73_length_1838_cov_149.319686_2	Cyp4v3	37.8	516	281	8	3	510	39	522	7.4e-100	360.5
NODE_73_length_1838_cov_149.319686_2	CYP4V2	37.9	515	279	8	2	508	38	519	1.1e-98	356.7
NODE_73_length_1838_cov_149.319686_2	CYP4V2	37.9	515	279	8	2	508	38	519	1.1e-98	356.7
NODE_73_length_1838_cov_149.319686_2	CYP42A1	33.9	505	288	8	13	509	36	502	2.7e-86	315.5
NODE_73_length_1838_cov_149.319686_2	CYP42A1	33.9	505	288	8	13	509	36	502	2.7e-86	315.5
NODE_73_length_1838_cov_149.319686_2	CYP32A1	32.6	531	290	9	5	509	34	522	1.1e-84	310.1
NODE_73_length_1838_cov_149.319686_2	CYP32A1	32.6	531	290	9	5	509	34	522	1.1e-84	310.1
NODE_73_length_1838_cov_149.319686_2	CYP32B1	34.7	533	281	11	6	511	36	528	5.9e-81	297.7
NODE_73_length_1838_cov_149.319686_2	CYP32B1	34.7	533	281	11	6	511	36	528	5.9e-81	297.7
NODE_73_length_1838_cov_149.319686_2	CYP31A2	33.4	503	288	7	14	513	36	494	1.0e-80	297.0
NODE_73_length_1838_cov_149.319686_2	CYP31A2	33.4	503	288	7	14	513	36	494	1.0e-80	297.0
NODE_73_length_1838_cov_149.319686_2	CYP37A1	32.3	527	291	9	10	510	38	524	1.6e-78	289.7
NODE_73_length_1838_cov_149.319686_2	CYP37A1	32.3	527	291	9	10	510	38	524	1.6e-78	289.7
NODE_73_length_1838_cov_149.319686_2	CYP31A3	32.8	503	291	7	14	513	36	494	3.0e-77	285.4
NODE_73_length_1838_cov_149.319686_2	CYP31A3	32.8	503	291	7	14	513	36	494	3.0e-77	285.4
NODE_73_length_1838_cov_149.319686_2	cb25.fpc4470	31.7	508	293	9	10	505	35	500	5.7e-76	281.2
NODE_73_length_1838_cov_149.319686_2	cb25.fpc4470	31.7	508	293	9	10	505	35	500	5.7e-76	281.2
NODE_73_length_1838_cov_149.319686_2	CYP4F2	31.3	515	308	11	3	507	40	518	3.8e-72	268.5
NODE_789_length_958_cov_338.660022_1	CYP149A1	34.5	200	125	2	20	219	4	197	1.2e-25	112.8
NODE_789_length_958_cov_338.660022_1	CYP149A1	34.5	200	125	2	20	219	4	197	1.2e-25	112.8
NODE_1863_length_725_cov_8.670149_1	Cyp3a16	42.6	204	113	3	6	209	298	497	5.3e-36	147.1
NODE_1863_length_725_cov_8.670149_1	Cyp3a16	42.6	204	113	3	6	209	298	497	5.3e-36	147.1
NODE_1863_length_725_cov_8.670149_1	Cyp3a13	41.1	209	119	3	1	209	290	494	6.9e-36	146.7
NODE_1863_length_725_cov_8.670149_1	Cyp3a13	41.1	209	119	3	1	209	290	494	6.9e-36	146.7
NODE_1863_length_725_cov_8.670149_1	CYP3A9	41.1	209	119	3	1	209	290	494	9.0e-36	146.4
NODE_1863_length_725_cov_8.670149_1	CYP3A9	41.1	209	119	3	1	209	290	494	9.0e-36	146.4
NODE_1863_length_725_cov_8.670149_1	Cyp3a44	42.2	204	114	3	6	209	296	495	7.6e-35	143.3
NODE_1863_length_725_cov_8.670149_1	Cyp3a44	42.2	204	114	3	6	209	296	495	7.6e-35	143.3
NODE_1863_length_725_cov_8.670149_1	CYP3A2	42.2	192	108	2	1	192	291	479	2.2e-34	141.7
NODE_1863_length_725_cov_8.670149_1	CYP3A2	42.2	192	108	2	1	192	291	479	2.2e-34	141.7
NODE_1863_length_725_cov_8.670149_1	CYP3A98	39.1	192	114	2	1	192	290	478	4.9e-34	140.6
NODE_1863_length_725_cov_8.670149_1	Cyp3a41	41.9	210	117	4	1	209	291	496	4.9e-34	140.6
NODE_1863_length_725_cov_8.670149_1	CYP3A1	41.1	209	119	3	1	209	291	495	4.9e-34	140.6
NODE_1863_length_725_cov_8.670149_1	CYP3A23	41.1	209	119	3	1	209	289	493	4.9e-34	140.6
NODE_1863_length_725_cov_8.670149_1	CYP3A98	39.1	192	114	2	1	192	290	478	4.9e-34	140.6
NODE_1863_length_725_cov_8.670149_1	Cyp3a41	41.9	210	117	4	1	209	291	496	4.9e-34	140.6
NODE_1863_length_725_cov_8.670149_1	CYP3A1	41.1	209	119	3	1	209	291	495	4.9e-34	140.6
NODE_1863_length_725_cov_8.670149_1	CYP3A23	41.1	209	119	3	1	209	289	493	4.9e-34	140.6
NODE_1863_length_725_cov_8.670149_1	CYP3A5_v1	41.3	208	117	4	1	208	290	492	8.4e-34	139.8
NODE_1863_length_725_cov_8.670149_1	CYP3A5_v1	41.3	208	117	4	1	208	290	492	8.4e-34	139.8
