NODE_11099_length_620_cov_1.656637_2	SUO59891.1	41.0	61	36	0	3	63	36	96	1.3e-09	53.5
NODE_11099_length_620_cov_1.656637_2	VGV21454.1	39.3	61	37	0	3	63	24	84	1.3e-09	53.5
NODE_46187_length_350_cov_1.030508_1	WP_115246312.1	36.2	58	37	0	1	58	2	59	6.7e-10	54.3
NODE_46187_length_350_cov_1.030508_1	PKM75344.1	32.1	56	38	0	1	56	10	65	2.8e-08	48.9
NODE_46187_length_350_cov_1.030508_1	WP_003746133.1	32.8	58	39	0	1	58	3	60	2.4e-07	45.8
NODE_46187_length_350_cov_1.030508_1	HBT16501.1	33.9	59	39	0	2	60	18	76	1.5e-06	43.1
NODE_66386_length_285_cov_1.378261_1	WP_115246312.1	34.1	44	29	0	1	44	2	45	5.2e-06	40.8
NODE_76456_length_266_cov_0.668246_1	WP_133170842.1	46.3	41	21	1	7	47	5	44	3.6e-05	38.1
NODE_81070_length_258_cov_1.344828_1	WP_042739438.1	41.9	43	25	0	2	44	6	48	8.9e-06	40.0
NODE_81070_length_258_cov_1.344828_1	VHR94085.1	29.5	44	31	0	1	44	4	47	2.9e-04	35.0
NODE_81070_length_258_cov_1.344828_1	WP_003746133.1	31.8	44	30	0	1	44	3	46	8.3e-04	33.5
NODE_81070_length_258_cov_1.344828_1	HBT16501.1	36.8	38	24	0	7	44	23	60	8.3e-04	33.5
NODE_87236_length_250_cov_0.933333_1	WP_115246312.1	28.2	71	41	1	4	74	2	62	7.0e-06	41.2
NODE_111344_length_226_cov_0.807018_1	HBF45725.1	36.4	66	36	2	4	67	2	63	1.6e-04	36.6
NODE_132910_length_211_cov_0.878205_1	PDH70752.1	46.3	67	32	1	4	70	1	63	3.2e-10	55.5
NODE_132910_length_211_cov_0.878205_1	HAJ49387.1	50.8	59	25	1	9	67	5	59	5.5e-10	54.7
NODE_132910_length_211_cov_0.878205_1	VHR94085.1	35.5	62	36	1	9	70	5	62	2.6e-07	45.8
NODE_132910_length_211_cov_0.878205_1	HBT16501.1	38.7	62	34	1	9	70	18	75	2.8e-06	42.4
NODE_132910_length_211_cov_0.878205_1	WP_042739438.1	29.5	61	39	1	9	69	6	62	4.5e-04	35.0
